iter	Passed	Remaining
0	10	10537
1	20	10315
2	30	10230
3	41	10289
4	52	10407
5	62	10323
6	73	10492
7	84	10454
8	94	10414
9	105	10412
10	116	10454
11	127	10527
12	138	10543
13	149	10497
14	159	10501
15	170	10457
16	180	10453
17	191	10463
18	202	10466
19	213	10445
20	224	10444
21	234	10434
22	245	10421
23	255	10390
24	266	10398
25	278	10418
26	289	10443
27	300	10428
28	311	10417
29	322	10414
30	333	10412
31	344	10411
32	354	10399
33	365	10379
34	375	10351
35	385	10334
36	396	10325
37	407	10326
38	418	10310
39	428	10283
40	438	10260
41	449	10258
42	460	10255
43	471	10243
44	482	10233
45	493	10232
46	504	10226
47	514	10208
48	526	10216
49	538	10232
50	549	10215
51	560	10210
52	570	10196
53	580	10170
54	591	10158
55	601	10136
56	612	10127
57	622	10115
58	633	10109
59	644	10095
60	654	10081
61	665	10073
62	676	10064
63	686	10045
64	697	10037
65	707	10017
66	717	9997
67	728	9978
68	738	9969
69	749	9953
70	759	9934
71	769	9921
72	779	9900
73	790	9895
74	801	9881
75	812	9876
76	822	9863
77	832	9841
78	844	9842
79	855	9839
80	866	9826
81	876	9817
82	887	9799
83	897	9787
84	908	9779
85	918	9765
86	929	9751
87	939	9734
88	950	9725
89	960	9709
90	971	9700
91	982	9699
92	993	9688
93	1004	9679
94	1015	9674
95	1026	9665
96	1037	9653
97	1047	9637
98	1057	9628
99	1068	9619
100	1079	9607
101	1089	9596
102	1100	9580
103	1110	9563
104	1120	9548
105	1131	9539
106	1142	9535
107	1153	9525
108	1164	9517
109	1174	9503
110	1184	9489
111	1196	9482
112	1206	9469
113	1216	9455
114	1227	9446
115	1237	9431
116	1247	9417
117	1258	9408
118	1269	9396
119	1280	9387
120	1290	9372
121	1301	9363
122	1312	9354
123	1322	9344
124	1333	9337
125	1345	9329
126	1355	9317
127	1365	9300
128	1376	9291
129	1386	9278
130	1397	9267
131	1407	9258
132	1418	9248
133	1429	9236
134	1439	9223
135	1450	9215
136	1461	9206
137	1472	9200
138	1483	9190
139	1494	9178
140	1505	9169
141	1515	9158
142	1526	9149
143	1538	9147
